"citation_id","study_id","response_id","pub_journal","pub_year","pub_number_experiments","pub_primary_secondary","pub_primary_secondary_source","pub_comments","experiment","exp_pop","exp_pop_source","exp_level_random","exp_level_random_source","exp_exp_unit","exp_obs_unit","exp_random_procedure","exp_random_procedure_source","exp_treatment_cond_num","exp_treatment_cond_num_source","exp_comments","dep_present","dep_types","dep_describe","dep_comments","partial_type","partial_type_detail","partial_standardization","partial_diversity","partial_standardization_diversity_source","partial_assign","partial_assign_type","partial_assign_detail","partial_assign_source","partial_size","partial_size_avg","partial_size_min","partial_size_max","partial_comments","analytical_outcome","analytical_goal","analytical_statistical_analysis","analytical_statistical_analysis_source","analytical_outcome_type","analytical_repeated","analytical_hierarchcial","analytical_crossclassified","analytical_multimembership","analytical_partial_cluster","analytical_other","analytical_dep_detail","analytical_partial_cluster_assign","analytical_partial_cluster_assign_source","analytical_comments","journal_type","partial_nest","partial_class","exp_treatment_provider_percent","exp_treatment_group_percent","obs_treatment_provider_percent","obs_treatment_group_percent","Score"
"111566074","111566074","28876","Preventive Medicine","2024","1","Based on data that have been previously published","2, Methods",NA,"1","Women in Southern Finland","1, Abstract","Individual","2, Methods","Participant",NA,"Complete/Ratio","2, Methods","2","2, Methods",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,10
"111565953","111565953","28784","Evaluation Review","2024","1","First publication of the study’s results","586, Data",NA,"1","public sector leaders","586, Data","Individual","589, Methods","Participant",NA,"Other","Not Described and no sample size per treatment condition to infer","8 (2 x 2 x 2)","590, Experimental Conditions",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,2
"111569861","111569861","26911","Journal of Consulting and Clinical Psychology","2021","1","First publication of the study’s results","242,  Recruitment and Screening",NA,"1","low-income Black non-treatment-seeking smokers","241, Abstract","Individual","243, Procedure","Participant",NA,"Block/Stratified","243, Procedure","2","243, Figure 1","Blocking was done by sex","Yes","Repeated measures,Partially Nested Clusters","Repeated Measures: multiple measurements for different months. Therapists gave intervention in treatment",NA,"Treatment Provider","trained PhD-level psychologist who are the authors","Yes","No","244, Enhanced Care","No","Natural (Non-Random)",NA,"244, Enhanced Care","No",NA,NA,NA,NA,"motivation to change smoking, quit attempt (yes no), nicotine replacement  therapy knowledge","Total Effect estimation","Generalized Estimating Equations","245, Statistical Analyses","Non-normal Continuous,Nominal category","Generalized estimating equations",NA,NA,NA,"Ignored",NA,NA,"No",NA,NA,"Health","PN","Treatment Provider IRD",0.5,0,NA,NA,57
"111568457","111568457","28973","Journal of Research on Educational Effectiveness","2022","1","First publication of the study’s results","283, Sample",NA,"1","students from grades 4-7 in private schools in India","282, Context","Individual","284, Randomization","Participant",NA,"Block/Stratified","284, Randomization","2","283-284, Randomization",NA,"Yes","Hierarchical clustering,Repeated measures","Repeated measures: Pre and post test ~  Hierarchical clustering: Students nested in grade nested in school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"math achievement","Total Effect estimation,Moderation/effect heterogeneity","Provided equation of linear regression with randomization block fixed effects","289, Empirical Strategy","Continuous","Other","Fixed effects",NA,NA,NA,NA,NA,NA,NA,"repeated measures : Conditioned on pretest","Education","No-PN",NA,NA,NA,NA,NA,43
"111568476","111568476","28354","Journal of Educational Research","2022","1","First publication of the study’s results","351, Participants",NA,"1","primary school students in iran","351, Participants","Cluster","351, Participants","Classroom","Student","Complete/Ratio","351, Participants","3","351, Participants","Each treatment condition had one cluster. Author's state this is a quasi-experimental study","Yes","Hierarchical clustering,Repeated measures","Repeated Measures: Pre test, Post test, and transfer test ~ Hierarchical clustering: Students nested in classroom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"students’ argumentative decision-making skills measured by 5 graded items~ 3 mean scores of students’ learning satisfaction based on questionnaire","Total Effect estimation","MANOVA for repeated measurement test","354, Analysis","Continuous","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,"Unclear if pre test measures were conditioned on or treated as outcomes or used as difference score in MANCOVA","Education","No-PN",NA,NA,NA,NA,NA,8
"111575576","111575576","28851","Prevention Science","2021","1","Based on data that have been previously published","380, Participants",NA,"1","Title I high schoolers in a major metropolitan area in the southwestern US","380, Participants","Cluster","380, Procedures","Section","Student","Complete/Ratio","380, Procedures","2","380, Procedures",NA,"Yes","Hierarchical clustering,Repeated measures","Repeated measures: Measures at baseline, post test, follow-up 1 and follow up 2 ~ Hierarchical clustering: Students nested within classrooms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethnic Identity Scale-Brief exploration (3 items) and resolution (3 items)","Moderation/effect heterogeneity","Multigroup bilinear spline growth models","380, Analytic Strategy","Continuous","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,"Repeated Measures: Growth curve modeling","Health","No-PN",NA,NA,NA,NA,NA,32
"111565421","111565421","28974","Journal of Educational Research","2024","1","First publication of the study’s results","140, Participants",NA,"1","junior high school students in","140, Participants","Cluster","141, Procedure","Classroom","Student","Block/Stratified","141, Procedure","3","141, Procedure",NA,"Yes","Hierarchical clustering,Repeated measures","Repeated measures: Pre and Post test ~ Hierarchical clustering: Student nested in classroom nested in school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twenty first century skills measured by essay","Total Effect estimation","ANCOVA","142, Results","Continuous","Other","Ignored",NA,NA,NA,NA,NA,NA,NA,"repeated measures: Conditioned on","Education","No-PN",NA,NA,NA,NA,NA,3
"111564877","111564877","28224","Journal of Educational Psychology","2024","1","First publication of the study’s results","840, Participants",NA,"1","undergraduate students","836, Abstract","Individual","841, Trainings","Participants",NA,"Complete/Ratio","841, Trainings (assumed because sample size is the same)","2","841, Trainings",NA,"Yes","Repeated measures","Repeated measures: Pre and post test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Self-Reported Mind-Wandering, Reading-Time-Based Measure of Inattentive Reading","Total Effect estimation","linear mixed-effects models for comprehension on  the textbase and situation model level and generalized mixed-effects  models with a logit link for self-reported mind-wandering and the  measure of inattentive reading based on instances of unusually fast  or slow reading.","844, Results","Continuous,Nominal category","Random effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education","No-PN",NA,NA,NA,NA,NA,25
"111568460","111568460","28323","Journal of Research on Educational Effectiveness","2022","1","First publication of the study’s results","266, Sample",NA,"1","early elementary students","264, Abstract","Cluster","268, Randomization and Implementation","Schools & Classrooms","Students","Block/Stratified","268, Randomization and Implementation","2","269, Figure 2","Two school districts were randomized at different levels one at the school level and the other at the classroom level/","Yes","Hierarchical clustering","Hierarchical clustering: Students nested in classroom or school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"total number of absences recorded for a student during the 13 school-week analysis period","Total Effect estimation","Linear Regression model with baseline covariates and block fixed effects with clustered standard error","270, Analytic Plan","Continuous",NA,"Robust variance estimation",NA,NA,NA,NA,NA,NA,NA,NA,"Education","No-PN",NA,NA,NA,NA,NA,66
"111566227","111566227","28852","Journal of Consulting and Clinical Psychology","2023","1","First publication of the study’s results","339, Transparency and Openness",NA,"1","Adult patients seeking mental health treatment","337. Abstract","Individual","341, Interventions","Participants",NA,"Simple/Probability","343, Figure 1","2","343, Figure 1",NA,"Yes","Hierarchical clustering,Repeated measures","Repeated measures: Outcome measured weekly for 11 weeks ~ Hierarchical clustering: Participants nested within therapists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PROMIS Satisfaction with Social Roles and Activities Scale","Total Effect estimation","Multilevel analyses were conducted using mixed-effect analyses for each outcome measure","342, Data Analysis","Continuous","Random effects","Ignored,Random effects",NA,NA,NA,NA,"hierarchical clusters: Therapists were included in the model but did not converge and were ignored",NA,NA,NA,"Health","No-PN",NA,NA,NA,NA,NA,67
