"Citation.ID","abstract_screen","full_text_screen","journal_book_title","Score","eligible_experimental","eligible_quantitative","eligible_comments"
"111576847",1,"Eligible","AIDS AND BEHAVIOR",72,"Yes","Yes","counseling in both conditions"
"111566934",1,"Ineligible","JOURNAL OF EDUCATIONAL RESEARCH",1,"No","",""
"111569987",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111568455",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",2,NA,NA,NA
"111577638",1,"Ineligible","AIDS AND BEHAVIOR",5,"Yes","No","The original study may be partial nested but this study is observational"
"111568397",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",35,"Yes","Yes","Professional development for teachers"
"111565455",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,NA,NA,NA
"111568466",1,"Ineligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,"No","","Quasi Experimental. Matching kind of"
"111566883",1,"Ineligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,"No","","Quasi matching experiment"
"111571567",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",2,NA,NA,NA
"111565467",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",14,"Yes","Yes","Multi component training in treatment nothing in control"
"111575291",-1,NA,"PREVENTION SCIENCE",4,NA,NA,NA
"111575339",-1,NA,"OBESITY",1,NA,NA,NA
"111569995",-1,NA,"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,NA,NA,NA
"111568361",-1,NA,"JOURNAL OF EDUCATIONAL PSYCHOLOGY",2,NA,NA,NA
"111571536",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",57,"Yes","Yes",""
"111568460",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",66,"Yes","Yes",""
"111566409",1,"Ineligible","OBESITY",22,"Yes","No","Follow-up observational study"
"111577920",1,"Eligible","AIDS AND BEHAVIOR",53,"Yes","Yes","counseling vs computer counseling. Maybe PNRD"
"111565332",-1,NA,"OBESITY",1,NA,NA,NA
"111575015",-1,NA,"AIDS AND BEHAVIOR",2,NA,NA,NA
"111577306",-1,NA,"AIDS AND BEHAVIOR",1,NA,NA,NA
"111571340",1,"Eligible","PREVENTION SCIENCE",73,"Yes","Yes","Mentor treatment vs usual care. Not sure what usual care details are"
"111573616",1,"Eligible","AIDS AND BEHAVIOR",6,"Yes","Yes","Attention matched"
"111571875",1,"Ineligible","PREVENTION SCIENCE",66,"Yes","No","Examined dosage effect on a theorized mediator"
"111571616",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,"Yes","Yes","Paired programming vs individual programming. "
"111565404",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",44,"Yes","Yes","Gym class vs gym class"
"111571561",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",1,"Yes","Yes","Coaching and PD class vs no coaching"
"111571586",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",62,"Yes","Yes","Teacher received PD and coaching"
"111570010",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",83,"Yes","Yes","Various training and teaching with teachers and parents"
"111569956",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",75,"Yes","Yes","teachers in all conditions received teaching"
"111568439",1,"Eligible","JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS",58,"Yes","Yes","Two forms of mentoring vs no mentoring at all"
"111568543",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",43,"Yes","Yes","9 Coaches in the treatment arm"
"111567731",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",14,"Yes","Yes",""
"111570952",1,"Eligible","HEALTH PSYCHOLOGY",2,"Yes","Yes",""
"111567557",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111567272",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111566066",-1,NA,"AMERICAN JOURNAL OF PUBLIC HEALTH",1,NA,NA,NA
"111564766",1,"Eligible","JOURNAL OF EDUCATIONAL PSYCHOLOGY",44,"Yes","Yes","Tutors giving treatment"
"111571601",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111571597",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",50,"Yes","Yes","Randomization seems to be cluster randomized but it only has two clusters"
"111578863",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",29,"Yes","Yes","Teacher's in treatment received training in groups. Students participated in learning groups."
"111576971",1,"Eligible","OBESITY",20,"Yes","Yes",""
"111577557",-1,NA,"OBESITY",6,NA,NA,NA
"111575280",-1,NA,"OBESITY",2,NA,NA,NA
"111574954",-1,NA,"OBESITY",1,NA,NA,NA
"111573410",1,"Eligible","OBESITY",79,"Yes","Yes",""
"111572987",1,"Eligible","OBESITY",83,"Yes","Yes",""
"111570900",-1,NA,"OBESITY",1,NA,NA,NA
"111570461",-1,NA,"OBESITY",15,NA,NA,NA
"111571296",-1,NA,"OBESITY",16,NA,NA,NA
"111566538",1,"Eligible","OBESITY",44,"Yes","Yes",""
"111565729",1,"Eligible","OBESITY",3,"Yes","Yes",""
"111565918",-1,NA,"OBESITY",1,NA,NA,NA
"111578118",-1,NA,"AIDS AND BEHAVIOR",27,NA,NA,NA
"111577748",1,"Ineligible","AIDS AND BEHAVIOR",19,"Yes","No","Compares latent classes between experimental conditions but not total effects"
"111576841",-1,NA,"AIDS AND BEHAVIOR",1,NA,NA,NA
"111575516",1,"Eligible","AIDS AND BEHAVIOR",65,"Yes","Yes",""
"111571568",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111569978",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111572552",1,"Ineligible","AIDS AND BEHAVIOR",8,"Yes","No",""" This article  does not, therefore, specifically focus on the impact of the  intervention as it was interrupted at an early stage by the  lockdown."" pg 3 Study does not focus on comparing study conditions."
"111575020",-1,NA,"AIDS AND BEHAVIOR",13,NA,NA,NA
"111573333",1,"Ineligible","AIDS AND BEHAVIOR",1,"No","Yes","Fidelity study"
"111571071",1,"Eligible","AIDS AND BEHAVIOR",47,"Yes","Yes",""
"111569618",1,"Ineligible","AIDS AND BEHAVIOR",60,"Yes","No","Compares latent classes across groups "
"111568652",1,"Ineligible","AIDS AND BEHAVIOR",14,"Yes","No","Mediation analysis. Compares alcohol use not the randomized experiment."
"111566469",-1,NA,"AIDS AND BEHAVIOR",32,NA,NA,NA
"111578213",1,"Eligible","PREVENTION SCIENCE",59,"Yes","Yes",""
"111568108",1,"Eligible","AIDS AND BEHAVIOR",59,"Yes","Yes",""
"111578588",-1,NA,"PREVENTION SCIENCE",4,NA,NA,NA
"111577547",1,"Eligible","PREVENTION SCIENCE",61,"Yes","Yes","ABC condition had coaches teaching the intervention ""In the current RCT, two female, bilingual,  certified parent coaches delivered ABC according to the intervention manual (Dozier and Bernard 2019)."""
"111577026",-1,NA,"PREVENTION SCIENCE",1,NA,NA,NA
"111576048",1,"Eligible","PREVENTION SCIENCE",51,"Yes","Yes",""
"111569943",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",20,"Yes","Yes",""
"111574631",1,"Ineligible","PREVENTION SCIENCE",3,"Yes","No","Data comes from RCT but study only focuses on intervention teachers"
"111575049",1,"Eligible","PREVENTION SCIENCE",64,"Yes","Yes",""
"111574134",-1,NA,"PREVENTION SCIENCE",9,NA,NA,NA
"111570344",-1,NA,"PREVENTION SCIENCE",2,NA,NA,NA
"111568314",-1,NA,"PREVENTION SCIENCE",2,NA,NA,NA
"111565231",1,"Ineligible","PREVENTION SCIENCE",39,"Yes","Yes","Published in 2025"
"111570594",-1,NA,"PREVENTION SCIENCE",2,NA,NA,NA
"111578322",-1,NA,"ADDICTIVE BEHAVIORS",2,NA,NA,NA
"111565936",-1,NA,"PREVENTION SCIENCE",49,NA,NA,NA
"111574886",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111575727",-1,NA,"ADDICTIVE BEHAVIORS",5,NA,NA,NA
"111576338",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111575914",1,"Eligible","ADDICTIVE BEHAVIORS",4,"Yes","Yes","""Participants received  six weekly 3-hour ART therapy sessions in a group of 6 to 8 persons."""
"111568476",1,"Eligible","JOURNAL OF EDUCATIONAL RESEARCH",8,"Yes","Yes",""
"111573066",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111572925",1,"Eligible","ADDICTIVE BEHAVIORS",65,"Yes","Yes",""
"111568480",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",2,NA,NA,NA
"111567824",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111568686",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111568633",1,"Eligible","ADDICTIVE BEHAVIORS",1,"Yes","Yes",""
"111566360",1,"Eligible","ADDICTIVE BEHAVIORS",80,"Yes","Yes",""
"111565266",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111577253",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111578353",1,"Eligible","PREVENTIVE MEDICINE",30,"Yes","Yes",""
"111565304",1,"Eligible","ADDICTIVE BEHAVIORS",49,"Yes","Yes",""
