"citation_id","study_id","response_id","experiment","cond_name","cond_type","cond_purpose","cond_exp_units_count","cond_exp_units_count_source","cond_obs_units_count","cond_obs_units_count_source","cond_treatment_provider_exp","cond_treatment_provider_exp_detail","cond_treatment_provider_obs","cond_treatment_provider_obs_detail","cond_treatment_provider_num","cond_treatment_provider_num_source","cond_treatment_groups_exp","cond_treatment_groups_exp_detail","cond_treatment_groups_obs","cond_treatment_groups_obs_detail","cond_treatment_groups_num","cond_treatment_groups_num_source","cond_comments"
"111566074","111566074","28876","1","HPV screening arm","Treatment","Hybrid Capture 2 screening method","118217","2, Fig 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111566074","111566074","28876","1","primary cytology screening","Control","The triage method for HPV-positive","118313","2, Fig 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: Current program, Intervention Intensity: Healthy home assessment, Scaling Up: Offer to everyone","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: No program, Intervention Intensity: Healthy home assessment, Scaling Up: Offer to everyone","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: Current program, Intervention Intensity: Healthy home assessment, Scaling Up: Apply for more funding","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: No program, Intervention Intensity: Healthy home assessment, Scaling Up: Apply for more funding","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: Current program, Intervention Intensity: Lead test kits, Scaling Up: Offer to everyone","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: No program, Intervention Intensity: Lead test kits, Scaling Up: Offer to everyone","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: Current program, Intervention Intensity: Lead test kits, Scaling Up: Apply for more funding","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111565953","111565953","28784","1","Business-as-Usual: No program, Intervention Intensity: Lead test kits, Scaling Up: Apply for more funding","Treatment","Survey prompt that varied the conditions of the hypothetical experiment","Not Reported",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
